ICB_CODE,Rate
E54000008,554
E54000010,576
E54000011,523
E54000013,655
E54000015,466
E54000018,534
E54000019,564
E54000022,580
E54000023,619
E54000024,502
E54000025,526
E54000026,570
E54000027,427
E54000028,406
E54000029,392
E54000030,394
E54000031,436
E54000032,505
E54000034,436
E54000036,553
E54000037,523
E54000038,498
E54000039,414
E54000040,482
E54000041,551
E54000042,470
E54000043,502
E54000044,457
E54000048,570
E54000050,605
E54000051,534
E54000054,555
E54000055,520
E54000056,522
E54000057,559
E54000058,492
E54000059,496
E54000060,527
E54000061,527
E54000062,518
E54000063,457
E54000064,513
