"GID_2","tmean_c"
"GBR.1.2_1",8.5
"GBR.1.3_1",9.1
"GBR.1.5_1",8.2
"GBR.1.6_1",9.6
"GBR.1.72_1",9.9
"GBR.1.8_1",10.3
"GBR.1.9_1",9.8
"GBR.1.10_1",8.3
"GBR.1.11_1",9.6
"GBR.1.15_1",8
"GBR.1.30_1",7.5
"GBR.1.22_1",6.5
"GBR.1.23_1",8
"GBR.1.24_1",8.6
"GBR.1.34_1",7.1
"GBR.1.37_1",9.3
"GBR.1.39_1",8.2
"GBR.1.40_1",8.5
"GBR.1.42_1",10.3
"GBR.1.43_1",11.1
"GBR.1.44_1",9.3
"GBR.1.45_1",9
"GBR.1.46_1",8.8
"GBR.1.49_1",8.8
"GBR.1.53_1",9.3
"GBR.1.55_1",10.1
"GBR.1.57_1",9.2
"GBR.1.63_1",8.3
"GBR.1.68_1",7.4
"GBR.1.70_1",9.3
"GBR.1.71_1",9.2
"GBR.1.83_1",8.7
"GBR.1.87_1",9
"GBR.1.88_1",9.1
"GBR.1.91_1",10.3
"GBR.1.79_1",9.2
"GBR.1.94_1",8.3
"GBR.1.96_1",9.5
"GBR.1.98_1",9.4
"GBR.1.99_1",9.1
"GBR.1.101_1",8.7
"GBR.1.102_1",10.2
"GBR.1.103_1",9.1
"GBR.1.105_1",9
"GBR.1.109_1",9.3
"GBR.1.110_1",10.1
"GBR.1.114_1",9.3
"GBR.1.116_1",8.4
"GBR.1.118_1",8.6
"GBR.1.100_1",8.7
"GBR.1.104_1",8.8
"GBR.1.106_1",8.3
"GBR.1.107_1",9
"GBR.1.108_1",8.6
"GBR.1.111_1",9
"GBR.1.112_1",9.1
"GBR.1.113_1",10.1
"GBR.1.115_1",10
"GBR.1.117_1",8.8
"GBR.1.12_1",9.2
"GBR.1.13_1",9.4
"GBR.1.14_1",8.4
"GBR.1.16_1",9.5
"GBR.1.17_1",9.5
"GBR.1.18_1",8.5
"GBR.1.1_1",8.5
"GBR.1.20_1",8.8
"GBR.1.21_1",8.5
"GBR.1.25_1",8.3
"GBR.1.26_1",8.2
"GBR.1.27_1",9.1
"GBR.1.28_1",8.8
"GBR.1.29_1",8.4
"GBR.1.31_1",8.6
"GBR.1.32_1",9.1
"GBR.1.33_1",9.7
"GBR.1.36_1",10.4
"GBR.1.38_1",9.1
"GBR.1.41_1",9.9
"GBR.1.47_1",8.9
"GBR.1.48_1",7.2
"GBR.1.4_1",8.5
"GBR.1.50_1",8.8
"GBR.1.51_1",8
"GBR.1.52_1",9.2
"GBR.1.54_1",8.9
"GBR.1.56_1",8.5
"GBR.1.58_1",7.4
"GBR.1.59_1",9.4
"GBR.1.60_1",9.1
"GBR.1.61_1",8.6
"GBR.1.62_1",7.6
"GBR.1.64_1",8.5
"GBR.1.65_1",6
"GBR.1.66_1",8.7
"GBR.1.67_1",8.5
"GBR.1.69_1",9.1
"GBR.1.73_1",10.4
"GBR.1.74_1",10
"GBR.1.75_1",8.2
"GBR.1.76_1",8.4
"GBR.1.77_1",8.5
"GBR.1.78_1",8.7
"GBR.1.7_1",8.1
"GBR.1.80_1",9
"GBR.1.81_1",8.3
"GBR.1.82_1",9.8
"GBR.1.84_1",8.3
"GBR.1.85_1",10.2
"GBR.1.86_1",8.5
"GBR.1.89_1",8
"GBR.1.90_1",10.2
"GBR.1.92_1",8.7
"GBR.1.93_1",8.7
"GBR.1.95_1",8.1
"GBR.1.97_1",7.6
"GBR.2.1_1",8.1
"GBR.2.11_1",8
"GBR.2.2_1",8.3
"GBR.2.3_1",8.4
"GBR.2.5_1",7.7
"GBR.2.6_1",8.6
"GBR.2.8_1",7.3
"GBR.2.9_1",8.1
"GBR.2.10_1",8.1
"GBR.2.4_1",8.5
"GBR.2.7_1",8
"GBR.3.1_1",5.7
"GBR.3.2_1",4.6
"GBR.3.3_1",5.4
"GBR.3.4_1",6.4
"GBR.3.12_1",6.4
"GBR.3.5_1",7
"GBR.3.6_1",5.9
"GBR.3.7_1",5.9
"GBR.3.8_1",6.3
"GBR.3.9_1",6.3
"GBR.3.10_1",6.7
"GBR.3.11_1",5.8
"GBR.3.14_1",7.1
"GBR.3.15_1",6.8
"GBR.3.16_1",6.9
"GBR.3.17_1",6.3
"GBR.3.18_1",5.9
"GBR.3.19_1",5.8
"GBR.3.20_1",4.8
"GBR.3.13_1",7
"GBR.3.22_1",5.7
"GBR.3.23_1",6.4
"GBR.3.24_1",4.1
"GBR.3.25_1",7.1
"GBR.3.26_1",5.6
"GBR.3.27_1",5.5
"GBR.3.28_1",6.9
"GBR.3.29_1",4.7
"GBR.3.30_1",3.3
"GBR.3.31_1",5.6
"GBR.3.32_1",5.9
"GBR.3.21_1",6.8
"GBR.4.4_1",7.4
"GBR.4.5_1",8.9
"GBR.4.6_1",7.8
"GBR.4.7_1",7
"GBR.4.8_1",8.2
"GBR.4.10_1",8.9
"GBR.4.1_1",8.8
"GBR.4.13_1",8.4
"GBR.4.15_1",9
"GBR.4.16_1",9.1
"GBR.4.17_1",6.9
"GBR.4.18_1",7.6
"GBR.4.11_1",5.3
"GBR.4.12_1",8
"GBR.4.14_1",7.9
"GBR.4.19_1",9.2
"GBR.4.20_1",7.8
"GBR.4.21_1",8.6
"GBR.4.22_1",8.5
"GBR.4.2_1",6.9
"GBR.4.3_1",8.6
"GBR.4.9_1",8.2
"GBR.1.19_1",9.2
"GBR.1.35_1",9
